ParticipantID,Q3.1_pre,Q3.2_pre,Q3.3_pre,Q4.2_pre,Q4.3_pre,Q4.4_pre,Q4.5_pre,Q5.2_pre,Q5.3_pre,Q5.4_pre,Group
36110,Woman,26.0,Master's degree,6,6,5,6,5,4,5,Group 5
18413,Man,62.0,PhD,4,4,3,4,3,3,3,Group 2
90593,Woman,29.0,Master's degree,7,7,6,7,6,6,6,Group 4
15550,Man,66.0,Master's degree,5,5,5,6,5,5,6,Group 2
39984,Woman,25.0,Master's degree,7,5,5,6,5,5,4,Group 4
65032,Man,27.0,Bachelor's degree,6,6,6,7,6,6,4,Group 2
42739,Man,33.0,Bachelor's degree,5,6,5,6,3,5,4,Group 3
34376,Man,37.0,Master's degree,6,5,5,6,5,5,6,Group 4
12622,Woman,50.0,Bachelor's degree,6,6,6,5,6,6,5,Group 2
96200,Woman,32.0,Bachelor's degree,6,6,4,6,5,5,5,Group 6
22581,Woman,30.0,Bachelor's degree,6,5,4,6,6,6,4,Group 6
14609,Woman,26.0,Master's degree,6,6,6,6,6,6,6,Group 3
18257,Woman,27.0,Master's degree,6,5,6,6,6,6,6,Group 4
61014,Woman,29.0,Bachelor's degree,7,7,6,6,5,6,6,Group 6
67484,Man,38.0,PhD,3,2,4,5,4,4,5,Group 3
59485,Woman,25.0,Bachelor's degree,6,3,5,6,5,5,6,Group 6
11942,Man,27.0,Bachelor's degree,5,5,5,6,6,6,6,Group 5
96216,Woman,40.0,Master's degree,4,4,4,5,3,3,3,Group 1
39050,Woman,29.0,Bachelor's degree,5,5,4,4,6,6,6,Group 4
12430,Man,30.0,Master's degree,6,5,6,7,3,6,5,Group 5
30524,Woman,28.0,Bachelor's degree,5,4,3,5,5,6,5,Group 2
86891,Man,25.0,Bachelor's degree,3,2,5,5,2,2,5,Group 1
29957,Woman,24.0,Bachelor's degree,6,4,5,6,3,4,4,Group 6
96722,Man,28.0,Bachelor's degree,6,5,5,7,5,5,5,Group 5
